,Date,Open,Symbol
5496,2021-09-23 04:00:00+00:00,171.6455023137241,A
4025,2021-09-23 04:00:00+00:00,20.76000022888184,AAL
4988,2021-09-23 04:00:00+00:00,201.1343552680493,AAP
10282,2021-09-23 04:00:00+00:00,145.16856644923502,AAPL
2197,2021-09-23 04:00:00+00:00,99.86760312867476,ABBV
6665,2021-09-23 04:00:00+00:00,119.77567505046738,ABC
10470,2021-09-23 04:00:00+00:00,121.71360174614388,ABT
6552,2021-09-23 04:00:00+00:00,39.220001220703125,ACGL
5077,2021-09-23 04:00:00+00:00,329.44355524171675,ACN
8850,2021-09-23 04:00:00+00:00,632.2899780273438,ADBE
10470,2021-09-23 04:00:00+00:00,169.00428314555083,ADI
10470,2021-09-23 04:00:00+00:00,57.19889794656808,ADM
10470,2021-09-23 04:00:00+00:00,192.05993791283493,ADP
9133,2021-09-23 04:00:00+00:00,287.8599853515625,ADSK
5970,2021-09-23 04:00:00+00:00,79.53433545388533,AEE
15035,2021-09-23 04:00:00+00:00,77.68667586753337,AEP
7619,2021-09-23 04:00:00+00:00,22.73200500916283,AES
10470,2021-09-23 04:00:00+00:00,49.92782297897357,AFL
12290,2021-09-23 04:00:00+00:00,51.76812453367524,AIG
4439,2021-09-23 04:00:00+00:00,155.77310271723528,AIZ
9392,2021-09-23 04:00:00+00:00,148.58456556064382,AJG
5510,2021-09-23 04:00:00+00:00,108.69000244140624,AKAM
6946,2021-09-23 04:00:00+00:00,224.23542591707823,ALB
5195,2021-09-23 04:00:00+00:00,723.0,ALGN
10470,2021-09-23 04:00:00+00:00,57.93999862670898,ALK
7129,2021-09-23 04:00:00+00:00,124.83976908380008,ALL
1975,2021-09-23 04:00:00+00:00,133.97127400032872,ALLE
10470,2021-09-23 04:00:00+00:00,137.15197076148476,AMAT
2355,2021-09-23 04:00:00+00:00,10.914293225872042,AMCR
10470,2021-09-23 04:00:00+00:00,104.88999938964844,AMD
9372,2021-09-23 04:00:00+00:00,127.1074645034246,AME
9647,2021-09-23 04:00:00+00:00,200.60949440493704,AMGN
4033,2021-09-23 04:00:00+00:00,254.4841535805849,AMP
5932,2021-09-23 04:00:00+00:00,278.8805203967624,AMT
6130,2021-09-23 04:00:00+00:00,169.00250244140625,AMZN
