,Date,Open,Symbol
5542,2021-11-29 05:00:00+00:00,151.61252010062938,A
4071,2021-11-29 05:00:00+00:00,18.149999618530277,AAL
5034,2021-11-29 05:00:00+00:00,216.78880889333277,AAP
10328,2021-11-29 05:00:00+00:00,157.99027428844795,AAPL
2243,2021-11-29 05:00:00+00:00,110.37466063348074,ABBV
6711,2021-11-29 05:00:00+00:00,118.54664859357511,ABC
10516,2021-11-29 05:00:00+00:00,123.08954070989437,ABT
6598,2021-11-29 05:00:00+00:00,42.2599983215332,ACGL
5123,2021-11-29 05:00:00+00:00,351.4828466612942,ACN
8896,2021-11-29 05:00:00+00:00,668.0,ADBE
10516,2021-11-29 05:00:00+00:00,174.85402320974205,ADI
10516,2021-11-29 05:00:00+00:00,63.134543202752965,ADM
10516,2021-11-29 05:00:00+00:00,223.218386672718,ADP
9179,2021-11-29 05:00:00+00:00,257.2099914550781,ADSK
6016,2021-11-29 05:00:00+00:00,80.9263389408151,AEE
15081,2021-11-29 05:00:00+00:00,78.52012520039479,AEP
7665,2021-11-29 05:00:00+00:00,23.12853960599425,AES
10516,2021-11-29 05:00:00+00:00,53.96065861844944,AFL
12336,2021-11-29 05:00:00+00:00,54.44429429860824,AIG
4485,2021-11-29 05:00:00+00:00,154.36997165088064,AIZ
9438,2021-11-29 05:00:00+00:00,161.58635375046902,AJG
5556,2021-11-29 05:00:00+00:00,112.75,AKAM
6992,2021-11-29 05:00:00+00:00,268.1159532199587,ALB
5241,2021-11-29 05:00:00+00:00,636.8599853515625,ALGN
10516,2021-11-29 05:00:00+00:00,50.18999862670898,ALK
7175,2021-11-29 05:00:00+00:00,109.80262677126125,ALL
2021,2021-11-29 05:00:00+00:00,128.2046336559351,ALLE
10516,2021-11-29 05:00:00+00:00,144.70889979177267,AMAT
2401,2021-11-29 05:00:00+00:00,10.97795524032111,AMCR
10516,2021-11-29 05:00:00+00:00,157.5,AMD
9418,2021-11-29 05:00:00+00:00,138.5530349009198,AME
9693,2021-11-29 05:00:00+00:00,192.74594266853404,AMGN
4079,2021-11-29 05:00:00+00:00,290.2360285857134,AMP
5978,2021-11-29 05:00:00+00:00,252.14407044139807,AMT
6176,2021-11-29 05:00:00+00:00,177.3820037841797,AMZN
1884,2021-11-29 05:00:00+00:00,127.4800033569336,ANET
6404,2021-11-29 05:00:00+00:00,386.0700073242188,ANSS
10463,2021-11-29 05:00:00+00:00,293.82461007399445,AON
9620,2021-11-29 05:00:00+00:00,79.5875721707139,AOS
10728,2021-11-29 05:00:00+00:00,26.66542372771163,APA
10516,2021-11-29 05:00:00+00:00,284.42904199519376,APD
7570,2021-11-29 05:00:00+00:00,80.86797161894603,APH
2523,2021-11-29 05:00:00+00:00,167.24000549316406,APTV
6168,2021-11-29 05:00:00+00:00,196.7315662981252,ARE
9559,2021-11-29 05:00:00+00:00,90.3819347579012,ATO
7075,2021-11-29 05:00:00+00:00,60.53020318954597,ATVI
6979,2021-11-29 05:00:00+00:00,229.97718340665617,AVB
3100,2021-11-29 05:00:00+00:00,531.6176979534924,AVGO
12302,2021-11-29 05:00:00+00:00,211.03967067267905,AVY
3425,2021-11-29 05:00:00+00:00,167.07438339057015,AWK
5144,2021-11-29 05:00:00+00:00,178.58999633789062,AXON
12482,2021-11-29 05:00:00+00:00,157.5598961356484,AXP
7725,2021-11-29 05:00:00+00:00,1828.0999755859373,AZO
15081,2021-11-29 05:00:00+00:00,201.8699951171875,BA
12302,2021-11-29 05:00:00+00:00,44.50042188942748,BAC
12302,2021-11-29 05:00:00+00:00,93.48473763405362,BALL
10108,2021-11-29 05:00:00+00:00,73.66878179193195,BAX
10000,2021-11-29 05:00:00+00:00,73.5709050995661,BBWI
9229,2021-11-29 05:00:00+00:00,107.46159488418168,BBY
12302,2021-11-29 05:00:00+00:00,233.32242302093536,BDX
9625,2021-11-29 05:00:00+00:00,31.648857491768045,BEN
10516,2021-11-29 05:00:00+00:00,72.4533545798822,BF-B
5113,2021-11-29 05:00:00+00:00,88.54358436831596,BG
7608,2021-11-29 05:00:00+00:00,245.3600006103516,BIIB
10529,2021-11-29 05:00:00+00:00,751.219970703125,BIO
12252,2021-11-29 05:00:00+00:00,54.7264175148362,BK
5704,2021-11-29 05:00:00+00:00,2206.419921875,BKNG
8733,2021-11-29 05:00:00+00:00,22.75857597738788,BKR
5576,2021-11-29 05:00:00+00:00,872.5785646813857,BLK
12482,2021-11-29 05:00:00+00:00,53.29417873322696,BMY
3699,2021-11-29 05:00:00+00:00,167.63242116226678,BR
6433,2021-11-29 05:00:00+00:00,284.0,BRK-B
10287,2021-11-29 05:00:00+00:00,64.78187060888195,BRO
7438,2021-11-29 05:00:00+00:00,38.84999847412109,BSX
7125,2021-11-29 05:00:00+00:00,44.96757490394408,BWA
6153,2021-11-29 05:00:00+00:00,104.55985064410812,BXP
11325,2021-11-29 05:00:00+00:00,62.13895710161464,C
10516,2021-11-29 05:00:00+00:00,30.02063689875364,CAG
9660,2021-11-29 05:00:00+00:00,45.53787989988046,CAH
428,2021-11-29 05:00:00+00:00,54.830987377208224,CARR
15081,2021-11-29 05:00:00+00:00,194.6188201825589,CAT
7223,2021-11-29 05:00:00+00:00,180.87159836185907,CB
2885,2021-11-29 05:00:00+00:00,130.10000610351562,CBOE
4398,2021-11-29 05:00:00+00:00,99.75,CBRE
5859,2021-11-29 05:00:00+00:00,171.07803199969126,CCI
8657,2021-11-29 05:00:00+00:00,18.809999465942383,CCL
905,2021-11-29 05:00:00+00:00,113.12000274658205,CDAY
8688,2021-11-29 05:00:00+00:00,181.3699951171875,CDNS
2121,2021-11-29 05:00:00+00:00,190.34864537680747,CDW
4243,2021-11-29 05:00:00+00:00,156.3795883617723,CE
4103,2021-11-29 05:00:00+00:00,62.62582740073398,CF
1808,2021-11-29 05:00:00+00:00,46.234773294907626,CFG
10516,2021-11-29 05:00:00+00:00,92.21079111524548,CHD
6069,2021-11-29 05:00:00+00:00,92.34683705135038,CHRW
2996,2021-11-29 05:00:00+00:00,674.469970703125,CHTR
10001,2021-11-29 05:00:00+00:00,197.05250573717024,CI
10516,2021-11-29 05:00:00+00:00,112.46211068359314,CINF
12253,2021-11-29 05:00:00+00:00,74.31302818250839,CL
12302,2021-11-29 05:00:00+00:00,164.18701676121253,CLX
10516,2021-11-29 05:00:00+00:00,80.37018829662041,CMA
10516,2021-11-29 05:00:00+00:00,49.47093271500111,CMCSA
4777,2021-11-29 05:00:00+00:00,206.93600835781825,CME
3988,2021-11-29 05:00:00+00:00,1702.449951171875,CMG
12302,2021-11-29 05:00:00+00:00,212.25218205174,CMI
12302,2021-11-29 05:00:00+00:00,57.69345091562246,CMS
5024,2021-11-29 05:00:00+00:00,73.83000183105469,CNC
15081,2021-11-29 05:00:00+00:00,25.50985045749195,CNP
6806,2021-11-29 05:00:00+00:00,146.40798998788216,COF
9795,2021-11-29 05:00:00+00:00,384.0606946286353,COO
10063,2021-11-29 05:00:00+00:00,68.68113736798247,COP
8921,2021-11-29 05:00:00+00:00,540.4303688703462,COST
12302,2021-11-29 05:00:00+00:00,39.68335125983906,CPB
6975,2021-11-29 05:00:00+00:00,74.05000305175781,CPRT
7141,2021-11-29 05:00:00+00:00,160.9371721884423,CPT
5392,2021-11-29 05:00:00+00:00,378.3500061035156,CRL
4390,2021-11-29 05:00:00+00:00,289.5199890136719,CRM
8007,2021-11-29 05:00:00+00:00,52.64270760340882,CSCO
5892,2021-11-29 05:00:00+00:00,79.38999938964844,CSGP
10355,2021-11-29 05:00:00+00:00,35.28402144586904,CSX
9649,2021-11-29 05:00:00+00:00,427.16231112573774,CTAS
1846,2021-11-29 05:00:00+00:00,132.77000427246094,CTLT
8013,2021-11-29 05:00:00+00:00,18.81786356148461,CTRA
5900,2021-11-29 05:00:00+00:00,77.4045913378667,CTSH
634,2021-11-29 05:00:00+00:00,46.58112508181467,CTVA
12302,2021-11-29 05:00:00+00:00,88.61432105391265,CVS
15081,2021-11-29 05:00:00+00:00,110.2314741423002,CVX
1810,2021-11-29 05:00:00+00:00,92.1999969482422,CZR
10516,2021-11-29 05:00:00+00:00,69.23809099398352,D
3670,2021-11-29 05:00:00+00:00,37.02000045776367,DAL
12482,2021-11-29 05:00:00+00:00,75.04133169864016,DD
12482,2021-11-29 05:00:00+00:00,359.31313223766733,DE
3641,2021-11-29 05:00:00+00:00,112.44947552272347,DFS
3030,2021-11-29 05:00:00+00:00,221.9260662982736,DG
6279,2021-11-29 05:00:00+00:00,150.57610791031416,DGX
7426,2021-11-29 05:00:00+00:00,97.89316955216552,DHI
10822,2021-11-29 05:00:00+00:00,321.5249252834876,DHR
15081,2021-11-29 05:00:00+00:00,148.80999755859375,DIS
6657,2021-11-29 05:00:00+00:00,33.540000915527344,DISH
4300,2021-11-29 05:00:00+00:00,154.6776515163945,DLR
6731,2021-11-29 05:00:00+00:00,142.3699951171875,DLTR
10516,2021-11-29 05:00:00+00:00,168.73007329596243,DOV
680,2021-11-29 05:00:00+00:00,53.67608302144287,DOW
4377,2021-11-29 05:00:00+00:00,517.6109687972155,DPZ
6687,2021-11-29 05:00:00+00:00,136.05991705221564,DRI
15081,2021-11-29 05:00:00+00:00,105.49310671803008,DTE
10516,2021-11-29 05:00:00+00:00,94.21379539160826,DUK
6565,2021-11-29 05:00:00+00:00,98.06999969482422,DVA
9164,2021-11-29 05:00:00+00:00,38.717673749505146,DVN
10063,2021-11-29 05:00:00+00:00,31.020000457763672,DXC
4186,2021-11-29 05:00:00+00:00,147.9875030517578,DXCM
8111,2021-11-29 05:00:00+00:00,124.62127773436345,EA
5833,2021-11-29 05:00:00+00:00,70.2119679440324,EBAY
12302,2021-11-29 05:00:00+00:00,222.99452268907768,ECL
15081,2021-11-29 05:00:00+00:00,75.04606442609115,ED
10516,2021-11-29 05:00:00+00:00,277.03737786404184,EFX
12252,2021-11-29 05:00:00+00:00,61.216873980977866,EIX
6552,2021-11-29 05:00:00+00:00,331.5345171365333,EL
5055,2021-11-29 05:00:00+00:00,410.21551122836365,ELV
7040,2021-11-29 05:00:00+00:00,105.43258847885252,EMN
12482,2021-11-29 05:00:00+00:00,88.13412118511987,EMR
2432,2021-11-29 05:00:00+00:00,253.6300048828125,ENPH
8101,2021-11-29 05:00:00+00:00,80.3320713235389,EOG
2468,2021-11-29 05:00:00+00:00,618.8300170898438,EPAM
5358,2021-11-29 05:00:00+00:00,774.924142815418,EQIX
7126,2021-11-29 05:00:00+00:00,80.62890729537501,EQR
10516,2021-11-29 05:00:00+00:00,20.45083537959327,EQT
12302,2021-11-29 05:00:00+00:00,80.22121473160544,ES
6920,2021-11-29 05:00:00+00:00,326.4820327662458,ESS
12482,2021-11-29 05:00:00+00:00,164.07374320234072,ETN
12482,2021-11-29 05:00:00+00:00,98.28371864547204,ETR
1668,2021-11-29 05:00:00+00:00,291.3900146484375,ETSY
12302,2021-11-29 05:00:00+00:00,61.10115273409616,EVRG
5454,2021-11-29 05:00:00+00:00,110.58000183105467,EW
12253,2021-11-29 05:00:00+00:00,36.51032205636773,EXC
9370,2021-11-29 05:00:00+00:00,121.9243913429466,EXPD
4118,2021-11-29 05:00:00+00:00,165.8699951171875,EXPE
4353,2021-11-29 05:00:00+00:00,188.635377597222,EXR
12482,2021-11-29 05:00:00+00:00,18.05815287474673,F
2296,2021-11-29 05:00:00+00:00,101.90722472748244,FANG
8638,2021-11-29 05:00:00+00:00,58.380307692944186,FAST
6645,2021-11-29 05:00:00+00:00,36.930405393717,FCX
6398,2021-11-29 05:00:00+00:00,455.29033592458,FDS
11004,2021-11-29 05:00:00+00:00,231.7783158133492,FDX
6052,2021-11-29 05:00:00+00:00,36.03427788045229,FE
5659,2021-11-29 05:00:00+00:00,228.75999450683597,FFIV
8866,2021-11-29 05:00:00+00:00,99.02999877929688,FI
8659,2021-11-29 05:00:00+00:00,347.1499938964844,FICO
5143,2021-11-29 05:00:00+00:00,104.49530081784953,FIS
10516,2021-11-29 05:00:00+00:00,40.85545209587696,FITB
2757,2021-11-29 05:00:00+00:00,217.67999267578125,FLT
10516,2021-11-29 05:00:00+00:00,102.3020521825817,FMC
685,2021-11-29 05:00:00+00:00,34.507977671842454,FOX
686,2021-11-29 05:00:00+00:00,36.94012453181514,FOXA
12252,2021-11-29 05:00:00+00:00,119.11551044560264,FRT
3782,2021-11-29 05:00:00+00:00,105.9000015258789,FSLR
3027,2021-11-29 05:00:00+00:00,66.5999984741211,FTNT
1361,2021-11-29 05:00:00+00:00,75.85629732860836,FTV
