,Date,Open,Symbol
5415,2021-05-28 04:00:00+00:00,136.9385492463147,A
3944,2021-05-28 04:00:00+00:00,24.38999938964844,AAL
4907,2021-05-28 04:00:00+00:00,178.17274875166683,AAP
10201,2021-05-28 04:00:00+00:00,124.11554370155454,AAPL
2116,2021-05-28 04:00:00+00:00,104.6192342527347,ABBV
6584,2021-05-28 04:00:00+00:00,112.79724443005,ABC
10389,2021-05-28 04:00:00+00:00,112.5994190439332,ABT
6471,2021-05-28 04:00:00+00:00,39.9900016784668,ACGL
4996,2021-05-28 04:00:00+00:00,274.93116517631603,ACN
8769,2021-05-28 04:00:00+00:00,506.0799865722656,ADBE
10389,2021-05-28 04:00:00+00:00,157.9062962833354,ADI
10389,2021-05-28 04:00:00+00:00,64.17994105153446,ADM
10389,2021-05-28 04:00:00+00:00,189.11497872302488,ADP
9052,2021-05-28 04:00:00+00:00,287.0,ADSK
5889,2021-05-28 04:00:00+00:00,79.07919039979296,AEE
14954,2021-05-28 04:00:00+00:00,80.21448516845703,AEP
7538,2021-05-28 04:00:00+00:00,24.116840207476294,AES
10389,2021-05-28 04:00:00+00:00,54.25718643902225,AFL
12209,2021-05-28 04:00:00+00:00,50.05733957742601,AIG
4358,2021-05-28 04:00:00+00:00,155.36070522513822,AIZ
9311,2021-05-28 04:00:00+00:00,143.08011545931495,AJG
5429,2021-05-28 04:00:00+00:00,114.95999908447266,AKAM
6865,2021-05-28 04:00:00+00:00,165.86935025151337,ALB
5114,2021-05-28 04:00:00+00:00,605.0,ALGN
10389,2021-05-28 04:00:00+00:00,70.3499984741211,ALK
7048,2021-05-28 04:00:00+00:00,129.10878314371226,ALL
1894,2021-05-28 04:00:00+00:00,136.27264901216952,ALLE
10389,2021-05-28 04:00:00+00:00,136.74433990669783,AMAT
2274,2021-05-28 04:00:00+00:00,10.904824405436802,AMCR
10389,2021-05-28 04:00:00+00:00,78.66000366210938,AMD
9291,2021-05-28 04:00:00+00:00,133.15138113583,AME
9566,2021-05-28 04:00:00+00:00,221.2736391591715,AMGN
3952,2021-05-28 04:00:00+00:00,252.7662068651701,AMP
5851,2021-05-28 04:00:00+00:00,242.5716829859961,AMT
6049,2021-05-28 04:00:00+00:00,162.10000610351562,AMZN
