,Date,Open,Symbol
5339,2021-02-09 05:00:00+00:00,121.74537990053682,A
3868,2021-02-09 05:00:00+00:00,17.739999771118164,AAL
4831,2021-02-09 05:00:00+00:00,148.3045571517965,AAP
10125,2021-02-09 05:00:00+00:00,134.8085777726371,AAPL
2040,2021-02-09 05:00:00+00:00,96.6771717299232,ABBV
6508,2021-02-09 05:00:00+00:00,104.5578689042939,ABC
10313,2021-02-09 05:00:00+00:00,120.24010627210606,ABT
6395,2021-02-09 05:00:00+00:00,34.29999923706055,ACGL
4920,2021-02-09 05:00:00+00:00,248.62921958626785,ACN
8693,2021-02-09 05:00:00+00:00,495.0,ADBE
10313,2021-02-09 05:00:00+00:00,146.0230083030079,ADI
10313,2021-02-09 05:00:00+00:00,51.27486108879219,ADM
10313,2021-02-09 05:00:00+00:00,159.82476839381025,ADP
8976,2021-02-09 05:00:00+00:00,308.1499938964844,ADSK
5813,2021-02-09 05:00:00+00:00,68.39165126672415,AEE
14878,2021-02-09 05:00:00+00:00,74.2134800670414,AEP
7462,2021-02-09 05:00:00+00:00,26.013810444209422,AES
10313,2021-02-09 05:00:00+00:00,43.489107200694015,AFL
12133,2021-02-09 05:00:00+00:00,39.653289986501605,AIG
4282,2021-02-09 05:00:00+00:00,128.7074134436925,AIZ
9235,2021-02-09 05:00:00+00:00,114.0331273079796,AJG
5353,2021-02-09 05:00:00+00:00,117.5500030517578,AKAM
6789,2021-02-09 05:00:00+00:00,157.46154505528986,ALB
5038,2021-02-09 05:00:00+00:00,601.3900146484375,ALGN
10313,2021-02-09 05:00:00+00:00,56.47999954223633,ALK
6972,2021-02-09 05:00:00+00:00,100.42199590355804,ALL
1818,2021-02-09 05:00:00+00:00,112.98990895407984,ALLE
10313,2021-02-09 05:00:00+00:00,103.9793177186785,AMAT
2198,2021-02-09 05:00:00+00:00,10.279372305962427,AMCR
10313,2021-02-09 05:00:00+00:00,91.38999938964844,AMD
9215,2021-02-09 05:00:00+00:00,118.05768278933331,AME
9490,2021-02-09 05:00:00+00:00,219.0948897233421,AMGN
3876,2021-02-09 05:00:00+00:00,203.9974093560825,AMP
5775,2021-02-09 05:00:00+00:00,217.5562155720531,AMT
5973,2021-02-09 05:00:00+00:00,165.62449645996094,AMZN
1681,2021-02-09 05:00:00+00:00,80.05999755859375,ANET
6201,2021-02-09 05:00:00+00:00,382.0,ANSS
10260,2021-02-09 05:00:00+00:00,221.53174694388923,AON
9417,2021-02-09 05:00:00+00:00,58.85405633949882,AOS
10525,2021-02-09 05:00:00+00:00,17.06913987512319,APA
10313,2021-02-09 05:00:00+00:00,240.70896626641843,APD
7367,2021-02-09 05:00:00+00:00,64.29271289472656,APH
2320,2021-02-09 05:00:00+00:00,147.5,APTV
5965,2021-02-09 05:00:00+00:00,160.30817280399324,ARE
9356,2021-02-09 05:00:00+00:00,83.61844405955014,ATO
