,Date,Open,Symbol
5378,2021-04-07 04:00:00+00:00,128.68863053249092,A
3907,2021-04-07 04:00:00+00:00,24.190000534057617,AAL
4870,2021-04-07 04:00:00+00:00,173.40730260278968,AAP
10164,2021-04-07 04:00:00+00:00,124.16163175382626,AAPL
2079,2021-04-07 04:00:00+00:00,96.2484974542896,ABBV
6547,2021-04-07 04:00:00+00:00,113.06147099884345,ABC
10352,2021-04-07 04:00:00+00:00,115.41434192850288,ABT
6434,2021-04-07 04:00:00+00:00,39.93000030517578,ACGL
4959,2021-04-07 04:00:00+00:00,273.52029952025214,ACN
8732,2021-04-07 04:00:00+00:00,492.9800109863281,ADBE
10352,2021-04-07 04:00:00+00:00,155.2726641613766,ADI
10352,2021-04-07 04:00:00+00:00,55.44362639410228,ADM
10352,2021-04-07 04:00:00+00:00,180.70326379085347,ADP
9015,2021-04-07 04:00:00+00:00,286.8299865722656,ADSK
5852,2021-04-07 04:00:00+00:00,76.8009649493587,AEE
14917,2021-04-07 04:00:00+00:00,80.39176825554404,AEP
7501,2021-04-07 04:00:00+00:00,26.20238794135626,AES
10352,2021-04-07 04:00:00+00:00,48.85902560084025,AFL
12172,2021-04-07 04:00:00+00:00,44.238485005307616,AIG
4321,2021-04-07 04:00:00+00:00,137.97487591325932,AIZ
9274,2021-04-07 04:00:00+00:00,126.1732866168615,AJG
5392,2021-04-07 04:00:00+00:00,102.83999633789062,AKAM
6828,2021-04-07 04:00:00+00:00,150.2166302124691,ALB
5077,2021-04-07 04:00:00+00:00,556.010009765625,ALGN
10352,2021-04-07 04:00:00+00:00,73.69999694824219,ALK
7011,2021-04-07 04:00:00+00:00,110.88653511262184,ALL
1857,2021-04-07 04:00:00+00:00,127.13270558099268,ALLE
10352,2021-04-07 04:00:00+00:00,137.56499233606095,AMAT
2237,2021-04-07 04:00:00+00:00,10.860891105163471,AMCR
10352,2021-04-07 04:00:00+00:00,81.31999969482422,AMD
9254,2021-04-07 04:00:00+00:00,127.77095749564754,AME
9529,2021-04-07 04:00:00+00:00,230.8541465774289,AMGN
3915,2021-04-07 04:00:00+00:00,228.37422520693315,AMP
5814,2021-04-07 04:00:00+00:00,229.1936969492629,AMT
6012,2021-04-07 04:00:00+00:00,161.69000244140625,AMZN
1720,2021-04-07 04:00:00+00:00,77.08499908447266,ANET
6240,2021-04-07 04:00:00+00:00,359.8599853515625,ANSS
10299,2021-04-07 04:00:00+00:00,229.91983616423835,AON
9456,2021-04-07 04:00:00+00:00,66.20361230557909,AOS
10564,2021-04-07 04:00:00+00:00,17.339923652955058,APA
10352,2021-04-07 04:00:00+00:00,273.13652159333947,APD
7406,2021-04-07 04:00:00+00:00,66.70012355680586,APH
2359,2021-04-07 04:00:00+00:00,143.5500030517578,APTV
6004,2021-04-07 04:00:00+00:00,161.38560594904564,ARE
9395,2021-04-07 04:00:00+00:00,92.47145792237907,ATO
6911,2021-04-07 04:00:00+00:00,95.42797002346896,ATVI
6815,2021-04-07 04:00:00+00:00,175.57262311205173,AVB
2936,2021-04-07 04:00:00+00:00,451.9196494540887,AVGO
12138,2021-04-07 04:00:00+00:00,186.37717126916584,AVY
3261,2021-04-07 04:00:00+00:00,147.4706617185276,AWK
4980,2021-04-07 04:00:00+00:00,147.02999877929688,AXON
12318,2021-04-07 04:00:00+00:00,143.76103662509686,AXP
7561,2021-04-07 04:00:00+00:00,1438.0799560546875,AZO
14917,2021-04-07 04:00:00+00:00,255.30999755859372,BA
12138,2021-04-07 04:00:00+00:00,37.772035479119424,BAC
12138,2021-04-07 04:00:00+00:00,85.73125955205556,BALL
9944,2021-04-07 04:00:00+00:00,81.50902716897016,BAX
9836,2021-04-07 04:00:00+00:00,48.87136824419695,BBWI
9065,2021-04-07 04:00:00+00:00,110.4333911258352,BBY
12138,2021-04-07 04:00:00+00:00,231.3306526364028,BDX
9461,2021-04-07 04:00:00+00:00,28.05788951536593,BEN
10352,2021-04-07 04:00:00+00:00,68.55214732093808,BF-B
4949,2021-04-07 04:00:00+00:00,75.31252505759004,BG
7444,2021-04-07 04:00:00+00:00,272.0,BIIB
10365,2021-04-07 04:00:00+00:00,586.9199829101562,BIO
12088,2021-04-07 04:00:00+00:00,44.929725738048056,BK
5540,2021-04-07 04:00:00+00:00,2429.06005859375,BKNG
8569,2021-04-07 04:00:00+00:00,20.05471352692437,BKR
5412,2021-04-07 04:00:00+00:00,740.4749743766885,BLK
12318,2021-04-07 04:00:00+00:00,58.27400868668879,BMY
3535,2021-04-07 04:00:00+00:00,150.20196602992715,BR
6269,2021-04-07 04:00:00+00:00,262.989990234375,BRK-B
10123,2021-04-07 04:00:00+00:00,46.377573963556095,BRO
7274,2021-04-07 04:00:00+00:00,38.959999084472656,BSX
6961,2021-04-07 04:00:00+00:00,44.97953127092518,BWA
5989,2021-04-07 04:00:00+00:00,95.49101314908998,BXP
11161,2021-04-07 04:00:00+00:00,67.19786377835442,C
10352,2021-04-07 04:00:00+00:00,34.89261785138917,CAG
9496,2021-04-07 04:00:00+00:00,56.51629526495165,CAH
264,2021-04-07 04:00:00+00:00,41.23873498694887,CARR
14917,2021-04-07 04:00:00+00:00,220.91779085865323,CAT
7059,2021-04-07 04:00:00+00:00,155.77805437045504,CB
2721,2021-04-07 04:00:00+00:00,99.3499984741211,CBOE
4234,2021-04-07 04:00:00+00:00,79.75,CBRE
5695,2021-04-07 04:00:00+00:00,162.39646478775757,CCI
